locator,location,time,Nall,Nmissed,Ncorrect,Nwrong,mergeEquivalent,mergeSuperCSubSpace,mergeTypeChefSubSpace,mergeDisjointOrOverlapping,isTrue
TypeChef + Kmax,busybox-1.18.5/archival/bbunzip.c:171,2237,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/archival/bbunzip.c:384,2203,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/archival/libarchive/data_extract_to_command.c:88,2110,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/archival/libarchive/get_header_cpio.c:157,2162,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/archival/libarchive/get_header_cpio.c:57,2178,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/archival/libarchive/get_header_tar.c:260,2307,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/archival/libarchive/get_header_tar_gz.c:27,2195,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/archival/rpm2cpio.c:27,2078,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/archival/tar.c:642,2101,1,1,0,0,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/console-tools/resize.c:1,2078,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/console-tools/setconsole.c:24,2189,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/console-tools/setconsole.c:27,2086,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/console-tools/setlogcons.c:21,2043,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/chroot.c:29,2010,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/cksum.c:62,2016,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/comm.c:83,1982,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/date.c:281,1886,1,1,0,0,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/fsync.c:8,2016,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/libcoreutils/getopt_mk_fifo_nod.c:47,1947,1,1,0,0,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/nice.c:18,2212,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/sleep.c:66,2104,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/stty.c:357,2354,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/stty.c:7,2396,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/sum.c:58,2159,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/sum.c:8,2021,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/sync.c:4,2123,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/tail.c:286,2276,1,1,0,0,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/test_ptr_hack.c:9,1337,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/tr.c:197,2234,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/uniq.c:85,2171,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/whoami.c:23,1974,1,0,?,?,0,0,0,0,0
