locator,location,time,Nall,Nmissed,Ncorrect,Nwrong,mergeEquivalent,mergeSuperCSubSpace,mergeTypeChefSubSpace,mergeDisjointOrOverlapping,isTrue
TypeChef + Kmax,busybox-1.18.5/archival/bbunzip.c:171,2203,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/archival/bbunzip.c:384,2096,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/archival/libarchive/data_extract_to_command.c:88,2032,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/archival/libarchive/filter_accept_list_reassign.c:7,2003,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/archival/libarchive/get_header_cpio.c:157,2095,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/archival/libarchive/get_header_cpio.c:57,2112,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/archival/libarchive/get_header_tar.c:260,2201,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/archival/libarchive/get_header_tar_gz.c:27,2098,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/archival/libarchive/seek_by_read.c:16,2070,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/archival/rpm2cpio.c:27,2180,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/archival/tar.c:642,2439,1,1,0,0,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/console-tools/resize.c:1,2047,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/console-tools/setconsole.c:24,2004,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/console-tools/setconsole.c:27,2016,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/console-tools/setlogcons.c:21,1979,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/chroot.c:29,1959,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/cksum.c:62,2013,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/comm.c:83,1981,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/date.c:281,1925,1,1,0,0,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/fsync.c:8,1968,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/libcoreutils/getopt_mk_fifo_nod.c:47,1952,1,1,0,0,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/nice.c:18,2209,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/sleep.c:66,2271,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/stty.c:357,2554,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/stty.c:7,2506,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/sum.c:58,2228,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/sum.c:8,2092,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/sync.c:4,2112,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/tail.c:286,1958,1,1,0,0,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/test_ptr_hack.c:9,1256,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/tr.c:197,2134,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/uniq.c:85,2302,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/coreutils/whoami.c:23,2455,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/e2fsprogs/old_e2fsprogs/blkid/devname.c:138,1478,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/e2fsprogs/old_e2fsprogs/blkid/devno.c:41,1395,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/e2fsprogs/old_e2fsprogs/e2p/parse_num.c:33,2011,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/e2fsprogs/old_e2fsprogs/ext2fs/dirhash.c:191,1497,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/e2fsprogs/old_e2fsprogs/ext2fs/expanddir.c:76,1506,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/e2fsprogs/old_e2fsprogs/ext2fs/fileio.c:197,1659,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/e2fsprogs/old_e2fsprogs/ext2fs/gen_bitmap.c:35,1474,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/e2fsprogs/old_e2fsprogs/ext2fs/gen_bitmap.c:36,1480,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/e2fsprogs/old_e2fsprogs/ext2fs/inline.c:14,1454,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/e2fsprogs/old_e2fsprogs/ext2fs/ismounted.c:12,1521,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/e2fsprogs/old_e2fsprogs/ext2fs/openfs.c:128,1551,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/e2fsprogs/old_e2fsprogs/ext2fs/sparse.c:9,1452,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/e2fsprogs/old_e2fsprogs/ext2fs/swapfs.c:111,1351,1,1,0,0,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/e2fsprogs/old_e2fsprogs/ext2fs/unix_io.c:628,1604,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/e2fsprogs/old_e2fsprogs/ext2fs/write_bb_file.c:16,1510,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/e2fsprogs/old_e2fsprogs/fsck.c:837,2807,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/e2fsprogs/old_e2fsprogs/uuid/gen_uuid.c:210,1385,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/editors/awk.c:2237,2407,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/editors/ed.c:223,2159,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/editors/patch.c:423,2098,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/init/halt.c:64,1973,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/init/mesg.c:20,1979,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/libbb/compare_string_array.c:82,1993,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/libbb/copy_file.c:37,2042,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/libbb/copyfd.c:61,1944,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/libbb/dump.c:288,2053,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/libbb/fgets_str.c:57,2018,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/libbb/find_pid_by_name.c:2,1979,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/libbb/obscure.c:138,1987,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/libbb/obscure.c:20,1967,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/libbb/perror_nomsg.c:21,1432,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/libbb/platform.c:42,1963,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/libbb/printable.c:12,1978,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/libbb/progress.c:141,2014,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/libbb/remove_file.c:51,1952,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/libbb/run_shell.c:75,2088,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/libbb/selinux_common.c:32,2268,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/libbb/str_tolower.c:13,2077,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/libbb/update_passwd.c:250,2347,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/libbb/xregcomp.c:31,2144,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/libpwdgrp/pwd_grp.c:696,2276,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/loginutils/cryptpw.c:75,2244,1,0,?,?,0,0,0,0,0
