locator,location,time,Nall,Nmissed,Ncorrect,Nwrong,mergeEquivalent,mergeSuperCSubSpace,mergeTypeChefSubSpace,mergeDisjointOrOverlapping,isTrue
TypeChef,splc18challengecase/vbdb/marlin/simple/2d22902.c:11,757,1,0,?,?,0,0,0,0,0
TypeChef,splc18challengecase/vbdb/marlin/simple/7336e6d.c:44,859,1,0,?,?,0,0,0,0,0
TypeChef,splc18challengecase/vbdb/marlin/simple/7336e6d.c:45,824,1,0,?,?,0,0,0,0,0
TypeChef,splc18challengecase/vbdb/marlin/simple/831016b.c:16,627,1,1,0,0,0,0,0,0,0
TypeChef,splc18challengecase/vbdb/marlin/simple/8c4377d.c:16,755,1,0,?,?,0,0,0,0,0
TypeChef,splc18challengecase/vbdb/marlin/simple/b8e79dc.c:27,725,1,1,0,0,0,0,0,0,0
TypeChef,splc18challengecase/vbdb/marlin/simple/fdac8f6.c:9,711,1,0,?,?,0,0,0,0,1
TypeChef,splc18challengecase/vbdb/busybox/simple/199501f.c:22,812,1,0,?,?,0,0,0,0,0
TypeChef,splc18challengecase/vbdb/busybox/simple/1b487ea.c:15,765,1,0,?,?,0,0,0,0,0
TypeChef,splc18challengecase/vbdb/busybox/simple/2631486.c:42,782,1,0,?,?,0,0,0,0,0
TypeChef,splc18challengecase/vbdb/busybox/simple/5275b1e.c:25,749,1,0,?,?,0,0,0,0,1
TypeChef,splc18challengecase/vbdb/busybox/simple/5cd6461.c:23,769,1,0,?,?,0,0,0,0,1
TypeChef,splc18challengecase/vbdb/busybox/simple/9575518.c:48,788,1,0,?,?,0,0,0,0,1
TypeChef,splc18challengecase/vbdb/busybox/simple/b7ebc61.c:17,719,1,0,?,?,0,0,0,0,1
TypeChef,splc18challengecase/vbdb/busybox/simple/bc0ffc0.c:44,759,1,0,?,?,0,0,0,0,0
TypeChef,splc18challengecase/vbdb/busybox/simple/cf1f2ac.c:29,753,1,0,?,?,0,0,0,0,1
TypeChef,splc18challengecase/vbdb/busybox/simple/df7b657.c:8,726,1,0,?,?,0,0,0,0,1
TypeChef,splc18challengecase/vbdb/busybox/simple/ebee301.c:24,738,1,0,?,?,0,0,0,0,1
TypeChef,splc18challengecase/vbdb/linux/simple/0988c4c.c:16,747,1,0,?,?,0,0,0,0,0
TypeChef,splc18challengecase/vbdb/linux/simple/0dc77b6.c:38,773,1,0,?,?,0,0,0,0,0
TypeChef,splc18challengecase/vbdb/linux/simple/0f8f809.c:39,870,1,0,?,?,0,0,0,0,0
TypeChef,splc18challengecase/vbdb/linux/simple/1f758a4.c:40,737,1,0,?,?,0,0,0,0,0
TypeChef,splc18challengecase/vbdb/linux/simple/208d898.c:32,772,1,0,?,?,0,0,0,0,0
TypeChef,splc18challengecase/vbdb/linux/simple/221ac32.c:37,816,1,0,?,?,0,0,0,0,0
TypeChef,splc18challengecase/vbdb/linux/simple/242f1a3.c:18,710,1,0,?,?,0,0,0,0,0
TypeChef,splc18challengecase/vbdb/linux/simple/2f02c15.c:18,706,1,0,?,?,0,0,0,0,0
TypeChef,splc18challengecase/vbdb/linux/simple/472a474.c:22,736,1,0,?,?,0,0,0,0,1
TypeChef,splc18challengecase/vbdb/linux/simple/51fd36f.c:44,792,1,0,?,?,0,0,0,0,0
TypeChef,splc18challengecase/vbdb/linux/simple/60e233a.c:27,778,1,0,?,?,0,0,0,0,1
TypeChef,splc18challengecase/vbdb/linux/simple/6252547.c:13,729,1,0,?,?,0,0,0,0,0
TypeChef,splc18challengecase/vbdb/linux/simple/63878ac.c:17,734,1,0,?,?,0,0,0,0,0
TypeChef,splc18challengecase/vbdb/linux/simple/6515e48.c:11,708,1,0,?,?,0,0,0,0,0
TypeChef,splc18challengecase/vbdb/linux/simple/657e964.c:69,763,1,0,?,?,0,0,0,0,1
TypeChef,splc18challengecase/vbdb/linux/simple/6651791.c:17,732,1,0,?,?,0,0,0,0,0
TypeChef,splc18challengecase/vbdb/linux/simple/6651791.c:25,735,1,0,?,?,0,0,0,0,0
TypeChef,splc18challengecase/vbdb/linux/simple/6e2b757.c:66,775,1,0,?,?,0,0,0,0,0
TypeChef,splc18challengecase/vbdb/linux/simple/76baeeb.c:40,811,1,0,?,?,0,0,0,0,0
TypeChef,splc18challengecase/vbdb/linux/simple/76baeeb.c:45,817,1,0,?,?,0,0,0,0,0
TypeChef,splc18challengecase/vbdb/linux/simple/7c6048b.c:24,730,1,0,?,?,0,0,0,0,0
TypeChef,splc18challengecase/vbdb/linux/simple/8c82962.c:17,784,1,0,?,?,0,0,0,0,0
TypeChef,splc18challengecase/vbdb/linux/simple/91ea820.c:40,796,1,0,?,?,0,0,0,0,0
